safe_stem,original_stem,n_classes,model_id,source,accuracy,f1_macro,balanced_accuracy,roc_auc_ovr_macro,error,config_path,weight_path,metrics_path
HRAST,HRAST,2,feature_encoder_2_labels_FeatEnc_CNN__all_data_ckpt,config_scan,0.65,0.6491228070175439,0.6875,,,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/feature_encoder/2_labels/FeatEnc_CNN.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_CNN.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\feature_encoder_2_labels_FeatEnc_CNN__all_data_ckpt\metrics.json
HRAST,HRAST,2,feature_encoder_2_labels_FeatEnc_FFN__all_data_ckpt,config_scan,0.65,0.6491228070175439,0.6875,,,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/feature_encoder/2_labels/FeatEnc_FFN.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_FFN.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\feature_encoder_2_labels_FeatEnc_FFN__all_data_ckpt\metrics.json
HRAST,HRAST,2,feature_encoder_2_labels_FeatEnc_GRU__all_data_ckpt,config_scan,0.6,0.375,0.5,,,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/feature_encoder/2_labels/FeatEnc_GRU.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_GRU.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\feature_encoder_2_labels_FeatEnc_GRU__all_data_ckpt\metrics.json
HRAST,HRAST,2,feature_encoder_2_labels_FeatEnc_LSTM__all_data_ckpt,config_scan,0.6,0.375,0.5,,,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/feature_encoder/2_labels/FeatEnc_LSTM.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_LSTM.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\feature_encoder_2_labels_FeatEnc_LSTM__all_data_ckpt\metrics.json
HRAST,HRAST,2,feature_encoder_2_labels_FeatEnc_RNN__all_data_ckpt,config_scan,0.6,0.375,0.5,,,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/feature_encoder/2_labels/FeatEnc_RNN.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_RNN.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\feature_encoder_2_labels_FeatEnc_RNN__all_data_ckpt\metrics.json
HRAST,HRAST,2,ml_2_labels_E_ML1_LogisticRegression__all_data_ckpt,config_scan,0.6,0.375,0.5,,,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/ml/2_labels/E_ML1_LogisticRegression.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/E_ML1_LogisticRegression.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\ml_2_labels_E_ML1_LogisticRegression__all_data_ckpt\metrics.json
HRAST,HRAST,2,ml_2_labels_E_ML2_LinearSVC__all_data_ckpt,config_scan,0.4,0.2857142857142857,0.5,,,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/ml/2_labels/E_ML2_LinearSVC.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/E_ML2_LinearSVC.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\ml_2_labels_E_ML2_LinearSVC__all_data_ckpt\metrics.json
HRAST,HRAST,2,ml_2_labels_E_ML3_DecisionTreeClassifier__all_data_ckpt,config_scan,0.6,0.375,0.5,,,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/ml/2_labels/E_ML3_DecisionTreeClassifier.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/E_ML3_DecisionTreeClassifier.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\ml_2_labels_E_ML3_DecisionTreeClassifier__all_data_ckpt\metrics.json
HRAST,HRAST,2,mlp_gelu_head_ddp_2_labels_FeatEnc_CNN__all_data_ckpt,config_scan,,,,,load_model: dictionary update sequence element #0 has length 1; 2 is required,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_CNN.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_CNN.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\mlp_gelu_head_ddp_2_labels_FeatEnc_CNN__all_data_ckpt\metrics.json
HRAST,HRAST,2,mlp_gelu_head_ddp_2_labels_FeatEnc_FFN__all_data_ckpt,config_scan,,,,,load_model: dictionary update sequence element #0 has length 1; 2 is required,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_FFN.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_FFN.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\mlp_gelu_head_ddp_2_labels_FeatEnc_FFN__all_data_ckpt\metrics.json
HRAST,HRAST,2,mlp_gelu_head_ddp_2_labels_FeatEnc_GRU__all_data_ckpt,config_scan,,,,,load_model: dictionary update sequence element #0 has length 1; 2 is required,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_GRU.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_GRU.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\mlp_gelu_head_ddp_2_labels_FeatEnc_GRU__all_data_ckpt\metrics.json
HRAST,HRAST,2,mlp_gelu_head_ddp_2_labels_FeatEnc_LSTM__all_data_ckpt,config_scan,,,,,load_model: dictionary update sequence element #0 has length 1; 2 is required,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_LSTM.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_LSTM.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\mlp_gelu_head_ddp_2_labels_FeatEnc_LSTM__all_data_ckpt\metrics.json
HRAST,HRAST,2,mlp_gelu_head_ddp_2_labels_FeatEnc_RNN__all_data_ckpt,config_scan,,,,,load_model: dictionary update sequence element #0 has length 1; 2 is required,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_RNN.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_RNN.safetensors,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\mlp_gelu_head_ddp_2_labels_FeatEnc_RNN__all_data_ckpt\metrics.json
