weight_relative,size_bytes,mtime_iso,run_meta_relative,meta_config,meta_n_classes,meta_pretrain_ckpt,meta_data_parquet,meta_layout
checkpoints\2-labels\all-data\B3_E_DL1_DistilBERT_mlp768_1024.safetensors,268621464,2026-04-03T09:03:58+00:00,,,,,,
checkpoints\2-labels\all-data\B4_E_DL3_BERT_mlp768_1024.safetensors,441110776,2026-04-03T12:02:00+00:00,,,,,,
checkpoints\2-labels\all-data\B5_E_DL2_RoBERTa_mlp768_1024.safetensors,501764360,2026-04-03T14:48:56+00:00,,,,,,
checkpoints\2-labels\all-data\E_ML1_LogisticRegression.safetensors,1032,2026-04-04T11:58:42+00:00,,,,,,
checkpoints\2-labels\all-data\E_ML2_LinearSVC.safetensors,628,2026-04-04T11:58:44+00:00,,,,,,
checkpoints\2-labels\all-data\E_ML3_DecisionTreeClassifier.joblib,46300,2026-04-04T11:59:30+00:00,,,,,,
checkpoints\2-labels\all-data\E_ML3_DecisionTreeClassifier.safetensors,530917,2026-04-04T10:39:12+00:00,,,,,,
checkpoints\2-labels\all-data\E_ML4_RandomForestClassifier.joblib,629028,2026-04-04T11:59:32+00:00,,,,,,
checkpoints\2-labels\all-data\FeatEnc_CNN.safetensors,174184,2026-04-04T00:40:10+00:00,,,,,,
checkpoints\2-labels\all-data\FeatEnc_FFN.safetensors,212664,2026-04-04T00:47:38+00:00,,,,,,
checkpoints\2-labels\all-data\FeatEnc_GRU.safetensors,154320,2026-04-04T00:49:40+00:00,,,,,,
checkpoints\2-labels\all-data\FeatEnc_LSTM.safetensors,165200,2026-04-04T00:51:44+00:00,,,,,,
checkpoints\2-labels\all-data\FeatEnc_RNN.safetensors,183984,2026-04-04T00:53:46+00:00,,,,,,
checkpoints\3-labels\all-data\B3_E_DL1_DistilBERT_mlp768_1024.safetensors,268625568,2026-04-03T00:47:42+00:00,,,,,,
checkpoints\3-labels\all-data\B4_E_DL3_BERT_mlp768_1024.safetensors,441114880,2026-04-03T04:03:24+00:00,,,,,,
checkpoints\3-labels\all-data\B5_E_DL2_RoBERTa_mlp768_1024.safetensors,501768456,2026-04-03T07:09:26+00:00,,,,,,
