embed_dim,hidden_size,json_top_keys,kind,list_item_keys,list_length,model_class,model_name,mtime_iso,n_classes,relative_path,tokenizer_name,top_keys
,,"[""_comment"", ""B11StackedCNNLSTMGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:06:50+00:00,,Code\thesis\config\b11_cnn_lstm_stack\2_labels\B11_CNN_LSTM_stack.json,,"[""_comment"", ""B11StackedCNNLSTMGeLUHeadDDP""]"
,,"[""_comment"", ""B11StackedCNNLSTMGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:06:52+00:00,,Code\thesis\config\b11_cnn_lstm_stack\3_labels\B11_CNN_LSTM_stack.json,,"[""_comment"", ""B11StackedCNNLSTMGeLUHeadDDP""]"
,,"[""CNNetworks""]",model_config,,,CNNetworks,,2026-03-30T05:59:40+00:00,,Code\thesis\config\cnn\2_labels\B9_CNN_Text.json,,
,,"[""CNNetworks""]",model_config,,,CNNetworks,,2026-03-30T05:59:40+00:00,,Code\thesis\config\cnn\3_labels\B9_CNN_Text.json,,
,,"[""FeatureEncoderClassifier""]",model_config,,,FeatureEncoderClassifier,,2026-03-30T05:59:40+00:00,,Code\thesis\config\feature_encoder\2_labels\FeatEnc_CNN.json,,
,,"[""FeatureEncoderClassifier""]",model_config,,,FeatureEncoderClassifier,,2026-03-30T05:59:40+00:00,,Code\thesis\config\feature_encoder\2_labels\FeatEnc_FFN.json,,
,,"[""FeatureEncoderClassifier""]",model_config,,,FeatureEncoderClassifier,,2026-03-30T05:59:40+00:00,,Code\thesis\config\feature_encoder\2_labels\FeatEnc_GRU.json,,
,,"[""FeatureEncoderClassifier""]",model_config,,,FeatureEncoderClassifier,,2026-03-30T05:59:40+00:00,,Code\thesis\config\feature_encoder\2_labels\FeatEnc_LSTM.json,,
,,"[""FeatureEncoderClassifier""]",model_config,,,FeatureEncoderClassifier,,2026-03-30T05:59:40+00:00,,Code\thesis\config\feature_encoder\2_labels\FeatEnc_RNN.json,,
,,"[""FeatureEncoderClassifier""]",model_config,,,FeatureEncoderClassifier,,2026-03-30T05:59:40+00:00,,Code\thesis\config\feature_encoder\3_labels\FeatEnc_CNN.json,,
,,"[""FeatureEncoderClassifier""]",model_config,,,FeatureEncoderClassifier,,2026-03-30T05:59:40+00:00,,Code\thesis\config\feature_encoder\3_labels\FeatEnc_FFN.json,,
,,"[""FeatureEncoderClassifier""]",model_config,,,FeatureEncoderClassifier,,2026-03-30T05:59:40+00:00,,Code\thesis\config\feature_encoder\3_labels\FeatEnc_GRU.json,,
,,"[""FeatureEncoderClassifier""]",model_config,,,FeatureEncoderClassifier,,2026-03-30T05:59:40+00:00,,Code\thesis\config\feature_encoder\3_labels\FeatEnc_LSTM.json,,
,,"[""FeatureEncoderClassifier""]",model_config,,,FeatureEncoderClassifier,,2026-03-30T05:59:40+00:00,,Code\thesis\config\feature_encoder\3_labels\FeatEnc_RNN.json,,
,,"[""HierarchicalReasoningModel""]",model_config,,,HierarchicalReasoningModel,,2026-03-30T05:59:38+00:00,,Code\thesis\config\hrm\E_HRM1_4Level.json,,
,,"[""HierarchicalReasoningModel""]",model_config,,,HierarchicalReasoningModel,,2026-04-01T01:53:38+00:00,,Code\thesis\config\hrm\E_HRM1_4Level_ft_mlp_2label.json,,
